Lot Number,Product Code,Quantity,Unit,Manufacture Date,Expiry Date,Warehouse,Manufacturing Order,Supplier,Status
SYN-LOT-FG-0235,SYN-EX-0068,500,pcs,2026-03-12,2031-01-01,WH-03,SYN-MO-0203,,blocked
SYN-LOT-FG-0236,SYN-EX-0068,250,pcs,2026-01-26,2031-08-01,WH-03,SYN-MO-0204,,released
SYN-LOT-FG-0237,SYN-EX-0069,1000,pcs,2026-01-10,,WH-01,SYN-MO-0205,,released
SYN-LOT-FG-0238,SYN-EX-0069,500,pcs,2026-01-24,,WH-01,SYN-MO-0206,,released
SYN-LOT-FG-0239,SYN-EX-0069,500,pcs,2026-01-15,,WH-01,SYN-MO-0207,,blocked
SYN-LOT-FG-0240,SYN-PI-0070,250,pcs,2026-03-26,,WH-01,SYN-MO-0208,,quarantined
SYN-LOT-FG-0241,SYN-PI-0070,250,pcs,2026-01-21,,WH-02,SYN-MO-0209,,released
SYN-LOT-FG-0242,SYN-PI-0070,500,pcs,2026-05-14,,WH-03,SYN-MO-0210,,released
SYN-LOT-FG-0243,SYN-PI-0071,500,pcs,2026-04-24,,WH-01,SYN-MO-0211,,released
SYN-LOT-FG-0244,SYN-PI-0071,1000,pcs,2026-01-16,,WH-03,SYN-MO-0212,,quarantined
SYN-LOT-FG-0245,SYN-PI-0071,2000,pcs,2026-02-21,,WH-01,SYN-MO-0213,,quarantined
SYN-LOT-FG-0246,SYN-PI-0072,250,pcs,2026-04-27,,WH-01,SYN-MO-0214,,released
SYN-LOT-FG-0247,SYN-PI-0072,250,pcs,2026-07-10,,WH-03,SYN-MO-0215,,released
SYN-LOT-FG-0248,SYN-PI-0072,2000,pcs,2026-03-22,,WH-03,SYN-MO-0216,,blocked
SYN-LOT-FG-0249,SYN-PI-0073,500,pcs,2026-06-27,2031-04-01,WH-02,SYN-MO-0217,,quarantined
SYN-LOT-FG-0250,SYN-PI-0073,1000,pcs,2026-03-16,2031-06-01,WH-03,SYN-MO-0218,,blocked
SYN-LOT-FG-0251,SYN-PI-0073,2000,pcs,2026-07-21,2031-03-01,WH-02,SYN-MO-0219,,released
SYN-LOT-FG-0252,SYN-PI-0074,2000,pcs,2026-05-20,,WH-02,SYN-MO-0220,,released
SYN-LOT-FG-0253,SYN-PI-0074,2000,pcs,2026-03-11,,WH-01,SYN-MO-0221,,quarantined
SYN-LOT-FG-0254,SYN-PI-0074,1000,pcs,2026-02-17,,WH-02,SYN-MO-0222,,released
SYN-LOT-FG-0255,SYN-PI-0075,1000,pcs,2026-04-20,,WH-03,SYN-MO-0223,,blocked
SYN-LOT-FG-0256,SYN-PI-0075,2000,pcs,2026-06-16,,WH-03,SYN-MO-0224,,released
SYN-LOT-FG-0257,SYN-PI-0075,500,pcs,2026-05-19,,WH-01,SYN-MO-0225,,released
SYN-LOT-FG-0258,SYN-PI-0076,250,pcs,2026-05-23,,WH-01,SYN-MO-0226,,released
SYN-LOT-FG-0259,SYN-PI-0076,500,pcs,2026-05-27,,WH-03,SYN-MO-0227,,quarantined
SYN-LOT-FG-0260,SYN-PI-0076,500,pcs,2026-06-12,,WH-01,SYN-MO-0228,,released
SYN-LOT-FG-0261,SYN-PI-0077,250,pcs,2026-05-22,,WH-02,SYN-MO-0229,,released
SYN-LOT-FG-0262,SYN-PI-0077,500,pcs,2026-03-19,,WH-02,SYN-MO-0230,,released
SYN-LOT-FG-0263,SYN-PI-0077,250,pcs,2026-07-26,,WH-03,SYN-MO-0231,,released
SYN-LOT-FG-0264,SYN-PI-0078,1000,pcs,2026-04-16,2031-06-01,WH-02,SYN-MO-0232,,released
SYN-LOT-FG-0265,SYN-PI-0078,500,pcs,2026-04-21,2031-05-01,WH-01,SYN-MO-0233,,released
SYN-LOT-FG-0266,SYN-PI-0078,2000,pcs,2026-06-25,2031-03-01,WH-01,SYN-MO-0234,,quarantined
SYN-LOT-FG-0267,SYN-OR-0079,1000,pcs,2026-04-27,,WH-03,SYN-MO-0235,,released
SYN-LOT-FG-0268,SYN-OR-0079,2000,pcs,2026-01-23,,WH-03,SYN-MO-0236,,quarantined
SYN-LOT-FG-0269,SYN-OR-0079,2000,pcs,2026-07-10,,WH-03,SYN-MO-0237,,released
SYN-LOT-FG-0270,SYN-OR-0080,1000,pcs,2026-06-14,,WH-02,SYN-MO-0238,,released
SYN-LOT-FG-0271,SYN-OR-0080,2000,pcs,2026-01-15,,WH-02,SYN-MO-0239,,quarantined
SYN-LOT-FG-0272,SYN-OR-0080,250,pcs,2026-07-23,,WH-01,SYN-MO-0240,,blocked
SYN-LOT-FG-0273,SYN-OR-0081,500,pcs,2026-03-12,,WH-02,SYN-MO-0241,,released
SYN-LOT-FG-0274,SYN-OR-0081,2000,pcs,2026-03-18,,WH-02,SYN-MO-0242,,released
SYN-LOT-FG-0275,SYN-OR-0081,250,pcs,2026-02-25,,WH-02,SYN-MO-0243,,released
SYN-LOT-FG-0276,SYN-OR-0082,2000,pcs,2026-05-22,2031-08-01,WH-02,SYN-MO-0244,,blocked
SYN-LOT-FG-0277,SYN-OR-0082,2000,pcs,2026-07-19,2031-07-01,WH-01,SYN-MO-0245,,blocked
SYN-LOT-FG-0278,SYN-OR-0082,500,pcs,2026-06-21,2031-01-01,WH-03,SYN-MO-0246,,quarantined
SYN-LOT-FG-0279,SYN-OR-0083,250,pcs,2026-07-24,,WH-01,SYN-MO-0247,,released
SYN-LOT-FG-0280,SYN-OR-0083,1000,pcs,2026-03-11,,WH-03,SYN-MO-0248,,quarantined
SYN-LOT-FG-0281,SYN-OR-0083,250,pcs,2026-01-12,,WH-01,SYN-MO-0249,,released
SYN-LOT-FG-0282,SYN-OR-0084,500,pcs,2026-07-28,,WH-03,SYN-MO-0250,,quarantined
SYN-LOT-FG-0283,SYN-OR-0084,1000,pcs,2026-07-22,,WH-03,SYN-MO-0251,,quarantined
SYN-LOT-FG-0284,SYN-OR-0084,2000,pcs,2026-04-26,,WH-03,SYN-MO-0252,,blocked
SYN-LOT-FG-0285,SYN-OR-0085,2000,pcs,2026-07-16,,WH-02,SYN-MO-0253,,released
SYN-LOT-FG-0286,SYN-OR-0085,500,pcs,2026-04-18,,WH-02,SYN-MO-0254,,released
SYN-LOT-FG-0287,SYN-OR-0085,1000,pcs,2026-06-26,,WH-03,SYN-MO-0255,,released
SYN-LOT-FG-0288,SYN-OR-0086,250,pcs,2026-05-15,,WH-01,SYN-MO-0256,,released
SYN-LOT-FG-0289,SYN-OR-0086,1000,pcs,2026-03-22,,WH-03,SYN-MO-0257,,released
SYN-LOT-FG-0290,SYN-OR-0086,500,pcs,2026-03-13,,WH-01,SYN-MO-0258,,released
SYN-LOT-FG-0291,SYN-OR-0087,500,pcs,2026-05-13,,WH-02,SYN-MO-0259,,quarantined
SYN-LOT-FG-0292,SYN-OR-0087,2000,pcs,2026-01-10,,WH-02,SYN-MO-0260,,blocked
SYN-LOT-FG-0293,SYN-OR-0087,250,pcs,2026-02-18,,WH-02,SYN-MO-0261,,released
SYN-LOT-FG-0294,SYN-OR-0088,500,pcs,2026-05-17,,WH-01,SYN-MO-0262,,blocked
SYN-LOT-FG-0295,SYN-OR-0088,250,pcs,2026-05-28,,WH-02,SYN-MO-0263,,quarantined
SYN-LOT-FG-0296,SYN-OR-0088,250,pcs,2026-07-20,,WH-02,SYN-MO-0264,,quarantined
SYN-LOT-FG-0297,SYN-OR-0089,250,pcs,2026-03-22,,WH-01,SYN-MO-0265,,quarantined
SYN-LOT-FG-0298,SYN-OR-0089,250,pcs,2026-06-24,,WH-02,SYN-MO-0266,,released
SYN-LOT-FG-0299,SYN-OR-0089,500,pcs,2026-05-13,,WH-02,SYN-MO-0267,,released
SYN-LOT-FG-0300,SYN-OR-0090,250,pcs,2026-05-27,,WH-03,SYN-MO-0268,,released
SYN-LOT-FG-0301,SYN-OR-0090,1000,pcs,2026-06-14,,WH-02,SYN-MO-0269,,released
SYN-LOT-FG-0302,SYN-OR-0090,2000,pcs,2026-07-18,,WH-01,SYN-MO-0270,,released
